symbol,name,isin,industry
IREDA,Indian Renewable Energy Development Agency Limited,INE202E01016,Financial Institution
UPL,UPL Limited,INE628A01036,Pesticides & Agrochemicals
MPHASIS,MphasiS Limited,INE356A01018,Computers - Software & Consulting
PIIND,PI Industries Limited,INE603J01030,Pesticides & Agrochemicals
HUDCO,Housing & Urban Development Corporation Limited,INE031A01017,Financial Institution
GMRINFRA,GMR Airports Infrastructure Limited,INE776C01039,Airport & Airport services
HINDZINC,Hindustan Zinc Limited,INE267A01025,Zinc
BANDHANBNK,Bandhan Bank Limited,INE545U01014,Private Sector Bank
OBEROIRLTY,Oberoi Realty Limited,INE093I01010,Residential Commercial Projects
AUBANK,AU Small Finance Bank Limited,INE949L01017,Other Bank
BHARTIHEXA,Bharti Hexacom Limited,INE343G01021,Telecom - Cellular & Fixed line services
HDFCAMC,HDFC Asset Management Company Limited,INE127D01025,Asset Management Company
INDUSTOWER,Indus Towers Limited,INE121J01017,Telecom - Infrastructure
MRF,MRF Limited,INE883A01011,Tyres & Rubber Products
SOLARINDS,Solar Industries India Limited,INE343H01029,Explosives
MAZDOCK,Mazagon Dock Shipbuilders Limited,INE249Z01012,Ship Building & Allied Services
LUPIN,Lupin Limited,INE326A01037,Pharmaceuticals
PAGEIND,Page Industries Limited,INE761H01022,Garments & Apparels
BIOCON,Biocon Limited,INE376G01013,Pharmaceuticals
SRF,SRF Limited,INE647A01010,Specialty Chemicals
LICHSGFIN,LIC Housing Finance Limited,INE115A01026,Housing Finance Company
POONAWALLA,Poonawalla Fincorp Limited,INE511C01022,Non Banking Financial Company (NBFC)
ASTRAL,Astral Limited,INE006I01046,Plastic Products - Industrial
OIL,Oil India Limited,INE274J01014,Oil Exploration & Production
EXIDEIND,Exide Industries Limited,INE302A01020,Auto Components & Equipments
BALKRISIND,Balkrishna Industries Limited,INE787D01026,Tyres & Rubber Products
DIXON,Dixon Technologies (India) Limited,INE935N01020,Consumer Electronics
ACC,ACC Limited,INE012A01025,Cement & Cement Products
CUMMINSIND,Cummins India Limited,INE298A01020,Compressors Pumps & Diesel Engines
POLYCAB,Polycab India Limited,INE455K01017,Cables - Electricals
TATACOMM,Tata Communications Limited,INE151A01013,Telecom - Cellular & Fixed line services
IGL,Indraprastha Gas Limited,INE203G01027,LPG/CNG/PNG/LNG Supplier
MUTHOOTFIN,Muthoot Finance Limited,INE414G01012,Non Banking Financial Company (NBFC)
TATACHEM,Tata Chemicals Limited,INE092A01019,Commodity Chemicals
POLICYBZR,PB Fintech Limited,INE417T01026,Financial Technology (Fintech)
NMDC,NMDC Limited,INE584A01023,Industrial Minerals
PERSISTENT,Persistent Systems Limited,INE262H01021,Computers - Software & Consulting
GODREJPROP,Godrej Properties Limited,INE484J01027,Residential Commercial Projects
JUBLFOOD,Jubilant Foodworks Limited,INE797F01020,Restaurants
PAYTM,One 97 Communications Limited,INE982J01020,Financial Technology (Fintech)
ESCORTS,Escorts Kubota Limited,INE042A01014,Tractors
MANKIND,Mankind Pharma Limited,INE634S01028,Pharmaceuticals
COLPAL,Colgate Palmolive (India) Limited,INE259A01022,Personal Care
FACT,Fertilizers and Chemicals Travancore Limited,INE188A01015,Fertilizers
FEDERALBNK,The Federal Bank  Limited,INE171A01029,Private Sector Bank
HINDPETRO,Hindustan Petroleum Corporation Limited,INE094A01015,Refineries & Marketing
CONCOR,Container Corporation of India Limited,INE111A01025,Logistics Solution Provider
MFSL,Max Financial Services Limited,INE180A01020,Life Insurance
AUROPHARMA,Aurobindo Pharma Limited,INE406A01037,Pharmaceuticals
NLCINDIA,NLC India Limited,INE589A01014,Power Generation
PRESTIGE,Prestige Estates Projects Limited,INE811K01011,Residential Commercial Projects
BSE,BSE Limited,INE118H01025,Exchange and Data Platform
RVNL,Rail Vikas Nigam Limited,INE415G01027,Civil Construction
VOLTAS,Voltas Limited,INE226A01021,Household Appliances
OFSS,Oracle Financial Services Software Limited,INE881D01027,Software Products
ALKEM,Alkem Laboratories Limited,INE540L01014,Pharmaceuticals
APOLLOTYRE,Apollo Tyres Limited,INE438A01022,Tyres & Rubber Products
COFORGE,Coforge Limited,INE591G01017,Computers - Software & Consulting
TIINDIA,Tube Investments of India Limited,INE974X01010,Auto Components & Equipments
MAXHEALTH,Max Healthcare Institute Limited,INE027H01010,Hospital
INDIANB,Indian Bank,INE562A01011,Public Sector Bank
