companyName,symbol
Info Edge (India) Limited,NAUKRI
Infosys Limited,INFY
InterGlobe Aviation Limited,INDIGO
JK Cement Limited,JKCEMENT
JSW Steel Limited,JSWSTEEL
Jindal Steel & Power Limited,JINDALSTEL
Jubilant Foodworks Limited,JUBLFOOD
Kotak Mahindra Bank Limited,KOTAKBANK
L&T Finance Limited,LTF
L&T Technology Services Limited,LTTS
LIC Housing Finance Limited,LICHSGFIN
LTIMindtree Limited,LTIM
Larsen & Toubro Limited,LT
Laurus Labs Limited,LAURUSLABS
Lupin Limited,LUPIN
MRF Limited,MRF
Mahanagar Gas Limited,MGL
Mahindra & Mahindra Financial Services Limited,M&MFIN
Mahindra & Mahindra Limited,M&M
Manappuram Finance Limited,MANAPPURAM
Marico Limited,MARICO
Maruti Suzuki India Limited,MARUTI
Max Financial Services Limited,MFSL
Metropolis Healthcare Limited,METROPOLIS
MphasiS Limited,MPHASIS
Multi Commodity Exchange of India Limited,MCX
Muthoot Finance Limited,MUTHOOTFIN
NMDC Limited,NMDC
NTPC Limited,NTPC
National Aluminium Company Limited,NATIONALUM
Navin Fluorine International Limited,NAVINFLUOR
Nestle India Limited,NESTLEIND
Oberoi Realty Limited,OBEROIRLTY
Oil & Natural Gas Corporation Limited,ONGC
Oracle Financial Services Software Limited,OFSS
PI Industries Limited,PIIND
PVR INOX Limited,PVRINOX
Page Industries Limited,PAGEIND
Persistent Systems Limited,PERSISTENT
Petronet LNG Limited,PETRONET
Pidilite Industries Limited,PIDILITIND
Piramal Enterprises Limited,PEL
Polycab India Limited,POLYCAB
Power Finance Corporation Limited,PFC
Power Grid Corporation of India Limited,POWERGRID
Punjab National Bank,PNB
RBL Bank Limited,RBLBANK
REC Limited,RECLTD
Reliance Industries Limited,RELIANCE
SBI Cards and Payment Services Limited,SBICARD
SBI Life Insurance Company Limited,SBILIFE
SHREE CEMENT LIMITED,SHREECEM
SRF Limited,SRF
Samvardhana Motherson International Limited,MOTHERSON
Shriram Finance Limited,SHRIRAMFIN
Siemens Limited,SIEMENS
State Bank of India,SBIN
Steel Authority of India Limited,SAIL
Sun Pharmaceutical Industries Limited,SUNPHARMA
Sun TV Network Limited,SUNTV
Syngene International Limited,SYNGENE
TATA CONSUMER PRODUCTS LIMITED,TATACONSUM
TVS Motor Company Limited,TVSMOTOR
Tata Chemicals Limited,TATACHEM
Tata Communications Limited,TATACOMM
Tata Consultancy Services Limited,TCS
Tata Motors Limited,TATAMOTORS
Tata Power Company Limited,TATAPOWER
Tata Steel Limited,TATASTEEL
Tech Mahindra Limited,TECHM
The Federal Bank  Limited,FEDERALBNK
The Indian Hotels Company Limited,INDHOTEL
The Ramco Cements Limited,RAMCOCEM
Titan Company Limited,TITAN
Torrent Pharmaceuticals Limited,TORNTPHARM
Trent Limited,TRENT
UPL Limited,UPL
UltraTech Cement Limited,ULTRACEMCO
United Breweries Limited,UBL
United Spirits Limited,UNITDSPR
Vedanta Limited,VEDL
Vodafone Idea Limited,IDEA
Voltas Limited,VOLTAS
Wipro Limited,WIPRO
Zydus Lifesciences Limited,ZYDUSLIFE
